criticalRate,death,deathRate,confCaseRate,createDt,confCase,gubun
0.52,16,5.18,17.98,2020-08-22,3057,50-59
0.07,2,0.52,12.2,2020-09-20,2802,30-39
1.83,703,49.51,49.07,2021-01-31,38374,Male
0.16,2907,11.83,10.13,2022-07-05,1864721,60-69
17.39,1189,51.63,2.68,2021-09-02,6837,80 over
0.02,11,0.4,19.16,2021-10-22,66846,20-29
0,37,0.11,10.14,2023-03-08,3101237,0-9
0.58,10,7.94,18.86,2020-03-25,1723,50-59
21.47,102,47.66,4.52,2020-04-12,475,80 over
0,0,0,5.02,2021-08-13,11044,0-9
0,0,0,10.17,2022-01-13,69088,10-19
0,3,0.05,8.48,2022-01-24,62851,0-9
2.16,17288,59,3,2022-11-02,801694,80 over
1.19,211,11.72,15.46,2021-04-19,17724,60-69
0.29,30,3.88,18.71,2020-12-25,10247,50-59
0.02,3,0.17,15.01,2021-04-01,15553,20-29
0,0,0,1.38,2020-06-04,160,0-9
0.04,1293,4.1,12.94,2022-12-21,3673915,50-59
0.3,61,3.45,18.44,2021-04-11,20197,50-59
0,0,0,12.4,2023-06-18,3968874,10-19
0.02,9,0.37,18.83,2021-09-22,54792,20-29
0.03,10,0.47,14.69,2021-08-08,30988,30-39
0,0,0,1.34,2020-05-19,148,0-9
0.1,12,0.81,14.39,2021-02-09,11723,40-49
0,0,0,25.25,2020-08-01,3620,20-29
0.11,16179,51.08,53.55,2022-12-23,15279131,Female
0.05,7,0.39,13.43,2021-04-14,14966,30-39
0.01,459,1.35,15.24,2023-02-27,4649378,40-49
0,0,0,0,2020-01-26,0,70-79
0.26,62,3.32,18.51,2021-05-08,23460,50-59
0,37,0.11,9.88,2023-06-20,3165574,0-9
0,0,0,25.5,2020-07-25,3594,20-29
0,23,0.07,12.45,2023-04-01,3838014,10-19
0,18,0.06,12.63,2022-12-25,3618809,10-19
0,0,0,9.38,2021-11-02,34510,10-19
0.05,7,0.4,13.44,2021-04-08,14465,30-39
1.77,801,50.22,50.7,2021-02-27,45280,Female
1.1,64,11.66,15.22,2020-12-07,5807,60-69
19.04,998,54.93,4.39,2021-04-26,5242,80 over
0,22,0.1,12.4,2023-02-12,3777297,10-19
0,14511,51,53,2022-09-30,13183792,Female
0,0,0,53.57,2020-02-14,15,Male
18.68,1098,54.65,3.82,2021-06-25,5879,80 over
0,0,0,4.11,2021-03-08,3812,0-9
18.21,1127,53.72,3.1,2021-08-01,6190,80 over
0,0,0,5.83,2020-08-25,1046,10-19
0,0,0,27.86,2020-05-19,3086,20-29
0.12,3418,11.52,10.62,2022-11-13,2782048,60-69
0.13,4,1.09,13.34,2020-09-16,3003,40-49
0.03,1429,4.08,13.06,2023-06-22,4190477,50-59
1,1055,49.93,51.04,2021-08-06,105857,Male
0.12,15023,48.89,46.53,2022-12-04,12705724,Male
0.2,4,1.31,13.52,2020-08-12,1990,40-49
1.08,225,11.61,15.22,2021-05-25,20854,60-69
1.03,269,12.77,12.79,2021-08-04,26079,60-69
1.06,240,11.96,14.89,2021-06-23,22709,60-69
3.85,976,26.68,5.61,2021-12-01,25359,70-79
0,0,0,33.33,2020-01-26,1,Female
1.94,127,47.21,58.45,2020-05-26,6561,Female
1.64,547,49.73,48.94,2021-01-09,33272,Male
0.11,3919,11.36,10.95,2023-05-02,3417103,60-69
0.72,15,5.49,17.87,2020-06-06,2094,50-59
1.96,260,52.85,46.86,2020-11-14,13279,Male
0,0,0,14.51,2023-08-05,4857552,20-29
0.43,19,4.58,18.56,2020-10-01,4434,50-59
1.27,42,12.21,15.33,2020-09-09,3310,60-69
1,5914,23,5,2022-08-15,1044825,70-79
0,21,0.09,12.12,2022-05-10,2134515,0-9
0.11,3913,11.36,10.94,2023-04-25,3403364,60-69
0,3297,12,10,2022-10-05,2610864,60-69
0.07,15,0.77,15.05,2021-05-28,20908,40-49
0,37,0.11,9.97,2023-05-20,3144222,0-9
17.85,263,49.72,4.13,2020-12-03,1473,80 over
0.42,16,4.8,18.3,2020-09-05,3845,50-59
0.74,15,5.58,17.75,2020-05-28,2014,50-59
4.39,1821,27.64,5.53,2022-01-25,41489,70-79
2.72,37,14.29,12.4,2020-05-13,1359,60-69
0.01,481,1.35,15.16,2023-08-24,5202367,40-49
0.4,8123,22.65,5.94,2023-08-31,2052062,70-79
0.02,12,0.43,19.08,2021-10-25,67376,20-29
0.01,449,1.36,15.25,2023-01-18,4558890,40-49
0,148,0.5,15,2023-01-03,4267526,30-39
0.03,1433,4.08,13.06,2023-07-11,4237738,50-59
0.16,2836,11.83,10.16,2022-05-22,1824148,60-69
0,0,0,5.17,2020-03-24,467,10-19
0,70,0.25,14.81,2022-09-17,3607368,20-29
1.48,910,49.65,49.8,2021-05-02,61370,Male
0.16,1867,12.53,9.72,2022-03-27,1148422,60-69
0,0,0,14.68,2023-06-17,4696694,30-39
0.77,15,6.47,18.25,2020-04-18,1944,50-59
1.97,19636,59.66,3.35,2023-01-14,996944,80 over
0,0,0,5.73,2023-07-08,1857156,70-79
2.13,17514,59.23,3.15,2022-11-11,822885,80 over
0,13978,49,47,2022-10-06,11649596,Male
0.84,1958,48.71,47.42,2021-12-08,232135,Female
1.05,92,11.6,15.67,2020-12-26,8756,60-69
0.12,3783,11.4,10.9,2023-01-27,3280421,60-69
4.58,691,26.99,4.57,2021-10-09,15076,70-79
0.92,1158,49.76,48.28,2021-09-06,126392,Female
0.12,16745,49.22,46.32,2023-03-04,14153151,Male
1.69,861,49.8,49.66,2021-03-30,50940,Male
0.22,3,1.5,13.36,2020-04-08,1387,40-49
0.09,1,0.55,10.58,2020-04-05,1083,30-39
0,0,0,18.75,2020-02-18,6,30-39
0.13,12705,51.28,52.99,2022-07-20,10035179,Female
3.65,14,31.82,5.67,2020-03-07,384,70-79
0.13,12514,51.29,52.99,2022-06-15,9669468,Female
0.05,592,4.26,11.95,2022-03-24,1293098,50-59
0,0,0,4.13,2021-03-11,3894,0-9
2.69,14312,58.89,2.93,2022-06-08,532209,80 over
0.68,34,45.33,61.59,2020-03-15,5027,Female
0,158,0.47,14.64,2023-02-23,4459799,30-39
0.17,2,0.81,10.74,2020-04-29,1156,30-39
0.01,380,1.37,15.28,2022-09-16,3716675,40-49
0.17,2,0.82,10.73,2020-04-28,1154,30-39
0.1,17748,50.71,53.84,2023-06-23,17280121,Female
0,0,0,27.14,2020-06-08,3206,20-29
0,37,0.11,10.16,2023-02-23,3094729,0-9
0.01,459,1.35,15.24,2023-02-24,4645971,40-49
20.6,892,56.6,4.91,2021-02-24,4330,80 over
1.23,57,11.49,15.87,2020-11-18,4647,60-69
0.12,14520,48.95,46.63,2022-11-13,12214574,Male
2.68,14220,58.86,2.93,2022-05-29,529787,80 over
0.17,3,1.05,13.07,2020-07-07,1723,40-49
0,0,0,9.5,2021-11-06,35892,10-19
4.1,18,35.29,5.95,2020-03-09,439,70-79
0.03,1392,4.09,13.07,2023-03-06,3994899,50-59
10.83,77,29.84,6.5,2020-05-12,711,70-79
0,0,0,50,2020-02-18,16,Male
0,25,1,16,2021-11-05,59723,30-39
5.57,571,28.44,6.69,2021-06-24,10247,70-79
1.19,1036,50.41,49.25,2021-07-17,86919,Female
0.03,1340,4.08,13.03,2023-01-12,3869120,50-59
0.14%,2980,12,10,2022-08-06,2055442,60-69
0.01,471,1.36,15.22,2023-05-04,4754234,40-49
0.32,45,3.28,18.81,2021-01-26,14271,50-59
1.25,295,48.2,52,2020-12-16,23627,Female
0,34,0.12,11.07,2022-10-07,2759682,0-9
0.13,12396,51.31,53,2022-05-29,9582647,Female
0,34,0.12,11.06,2022-10-09,2762212,0-9
0,50,0.23,14.38,2022-04-22,2409382,20-29
21.26,223,50.57,4.19,2020-10-16,1049,80 over
0,0,0,13.11,2023-08-31,4529186,50-59
0.12,3385,11.53,10.58,2022-11-05,2730664,60-69
0,111,0.45,14.71,2022-06-29,2699629,30-39
0,0,0,6.69,2021-02-06,5389,10-19
0,113,0.46,14.73,2022-07-19,2778536,30-39
0.08,1,0.9,13.73,2020-03-23,1230,40-49
0,81,0.23,14.48,2023-08-24,4970057,20-29
0,0,0,5.48,2020-08-04,790,10-19
0.03,1400,4.1,13.07,2023-03-20,4011638,50-59
0.23,77,3.74,18.08,2021-07-21,32950,50-59
0.31,45,3.18,18.76,2021-01-30,14602,50-59
0.27,114,5.05,17.52,2021-08-26,42631,50-59
0.03,14,0.6,15.3,2021-09-10,41212,30-39
24.79,148,49.33,4.2,2020-07-28,597,80 over
1.76,826,49.7,49.51,2021-03-12,46876,Male
0,2,0.02,13.8,2022-03-13,904818,10-19
0,109,0.45,14.71,2022-06-17,2685713,30-39
0.01,395,1.36,15.26,2022-10-24,3861294,40-49
0,80,0.23,14.54,2023-07-05,4697980,20-29
2.37,97,53.01,40.03,2020-04-05,4098,Male
1.93,126,47.91,58.67,2020-05-20,6518,Female
0.11,4026,11.36,11.19,2023-08-09,3770269,60-69
0.18,4,1.29,13.4,2020-08-21,2233,40-49
0,0,0,2.5,2020-10-23,642,0-9
0.11,17163,50.77,53.67,2023-02-16,16313419,Female
1.34,1013,50.55,49.76,2021-06-21,75396,Female
0,16,0,17,2022-02-24,432379,20-29
1.41,983,50.38,49.97,2021-05-29,69675,Female
0,0,0,21.82,2020-08-29,4233,20-29
0.14,351,4.71,11.99,2022-02-21,246729,50-59
0.62,15,5.15,17.76,2020-07-16,2418,50-59
0,81,0.23,14.47,2023-08-31,4994595,20-29
0,79,0.23,14.56,2023-03-09,4457445,20-29
0,18,0.22,16.81,2022-03-02,586995,20-29
0,80,0.23,14.57,2023-04-01,4491190,20-29
0.61,5778,23.05,4.77,2022-08-01,945126,70-79
0,0,0,27.45,2020-05-02,2959,20-29
1.14,116,11.82,15.84,2021-01-04,10180,60-69
0.15,2614,11.81,10.09,2022-04-24,1705343,60-69
1.83,130,46.43,57.7,2020-06-19,7100,Female
1.35,170,11.61,15.7,2021-02-06,12639,60-69
0.11,3983,11.36,11.05,2023-07-03,3564728,60-69
0.45,7677,22.68,5.58,2023-02-19,1697887,70-79
8.93,62,29.81,6.64,2020-04-10,694,70-79
10.3,73,29.67,6.59,2020-04-29,709,70-79
0,0,0,4.19,2021-03-25,4200,0-9
0,0,0,9.92,2023-06-07,3156433,0-9
1.96,257,52.77,46.83,2020-11-12,13083,Male
0.45,7613,22.66,5.57,2023-02-05,1684066,70-79
0.12,3814,11.34,10.91,2023-02-07,3302649,60-69
0.97,885,15.54,14.22,2022-01-02,90880,60-69
0.01,323,1.33,15.44,2022-06-09,2809320,40-49
0,0,0,1.43,2020-06-20,177,0-9
0.01,198,1.25,15.48,2022-03-30,1976979,40-49
0.12,13447,48.9,46.8,2022-09-12,11251707,Male
0,0,0,17.71,2020-12-14,7698,20-29
0.12,15306,48.9,46.48,2022-12-16,13043246,Male
0.12,3852,11.35,10.92,2023-02-25,3330102,60-69
1.24,1004,49.56,50.47,2021-07-04,80789,Male
0.19,3,1.08,13.16,2020-06-16,1599,40-49
0,2993,12,10,2022-08-10,2108674,60-69
1.06,1036,15.84,13.31,2022-01-23,97651,60-69
0.48,6957,22.84,5.39,2022-11-29,1457519,70-79
0,0,0,5.7,2021-10-26,20191,0-9
0.16,2,0.75,11.05,2020-05-25,1238,30-39
0.01,417,1.35,15.23,2022-12-08,4196288,40-49
1.72,634,50.76,50.98,2021-01-17,36870,Female
0,63,0.25,14.87,2022-08-01,2948027,20-29
2,14955,59,3,2022-08-11,604879,80 over
6.47,447,27.47,7.54,2021-03-05,6912,70-79
2.98,130,52,40.47,2020-05-03,4368,Male
5.52,584,28.47,6.04,2021-07-16,10575,70-79
0.15,2,1.09,13.38,2020-04-05,1370,40-49
6.29,493,28.14,7.38,2021-04-06,7839,70-79
0.06,15,0.74,15.59,2021-07-09,25784,40-49
0,72,0.26,14.8,2022-09-24,3639180,20-29
0,162,0.47,14.67,2023-05-23,4630765,30-39
1.48,188,47.12,54.11,2020-09-26,12723,Female
0.14,11899,48.71,47.01,2022-06-18,8589824,Male
1.1,90,12.18,15.61,2020-12-23,8200,60-69
18.05,1128,53.38,3.01,2021-08-06,6249,80 over
0,0,0,14.51,2023-07-30,4813662,20-29
1.79,269,52.44,47.42,2020-11-25,15020,Male
18.57,1114,54.34,3.46,2021-07-15,5999,80 over
0.01,479,1.35,15.18,2023-08-07,5092357,40-49
0,0,0,27.44,2020-06-04,3191,20-29
0.4,8057,22.65,5.9,2023-08-16,2004921,70-79
0.07,38,1.48,16.06,2021-10-10,53246,40-49
0.85,2322,48.62,47.78,2021-12-20,272551,Female
0.31,298,4.8,14.36,2022-01-13,97535,50-59
0.12,3804,11.34,10.9,2023-02-03,3296069,60-69
0.03,8,0.39,14.56,2021-07-24,27270,30-39
0,18,0.08,12.2,2022-04-28,2092173,0-9
0,102,0.44,14.72,2022-05-08,2582393,30-39
5.3,4390,52.3,2.25,2022-03-03,82887,80 over
0.15,3,1,13.53,2020-08-02,1944,40-49
1.8,141,47,54.9,2020-07-29,7824,Female
0.46,7388,22.7,6,2023-01-07,1621935,70-79
0,0,0,45.97,2023-09-02,15891942,Male
0.16,2803,11.87,10.16,2022-05-13,1800200,60-69
0,113,0,15,2022-07-28,2881501,30-39
0,0,0,1.4,2020-06-12,168,0-9
1.87,20815,0,3.48,2023-06-13,1111603,80 over
0,145,0.46,14.59,2022-12-26,4185539,30-39
0,163,0.47,14.68,2023-06-22,4708827,30-39
0,6635,23,5,2022-10-20,1320259,70-79
0,0,0,37.5,2020-02-04,6,Female
0,0,0,4.95,2021-08-07,10354,0-9
0.13,6830,49.13,47.56,2022-03-24,5147287,Male
0,0,0,9.74,2021-11-28,42954,10-19
0.04,1219,4.15,12.79,2022-11-07,3306249,50-59
0,129,0.47,14.63,2022-09-11,3511528,30-39
0.01,396,1.36,15.25,2022-11-01,3907026,40-49
5.44,591,28.45,5.71,2021-07-26,10863,70-79
0.01,334,1.35,15.42,2022-07-19,2908449,40-49
0,0,0,13.06,2023-04-30,4072392,50-59
0,34,0.12,10.95,2022-11-01,2804887,0-9
0,0,0,0,2020-02-02,0,80 over
0.13,4,1.08,13.34,2020-09-17,3023,40-49
0.04,805,4.06,12.16,2022-04-12,1901652,50-59
0.08,390,4.55,11.85,2022-03-04,468951,50-59
0.14,2,0.71,11.51,2020-06-24,1443,30-39
0,52,0.23,14.36,2022-04-27,2454489,20-29
0.01,461,1.35,15.24,2023-03-18,4675808,40-49
0.02,116,1.38,15.9,2022-03-03,586925,40-49
0,0,0,0,2020-01-31,0,70-79
10.19,81,29.24,6.6,2020-06-13,795,70-79
0.12,3847,11.36,10.92,2023-02-20,3322872,60-69
0,0,0,5.54,2020-07-21,765,10-19
1.02,310,13.43,11.87,2021-09-03,30524,60-69
0,158,0.47,14.64,2023-02-27,4464922,30-39
0.11,4,0.87,13.42,2020-10-29,3526,40-49
0,0,0,1.52,2020-07-04,198,0-9
0,23,0.07,12.45,2023-03-30,3835205,10-19
0.05,5,0.41,12.77,2021-01-15,9098,30-39
25.23,139,49.29,4.39,2020-06-25,551,80 over
0.12,17040,49.26,46.23,2023-05-12,14503981,Male
0,23,0.07,12.41,2023-05-15,3897780,10-19
0.03,8,0.39,14.2,2021-07-08,23286,30-39
0,0,0,0,2020-01-20,0,40-49
0.11,14018,51.11,53.2,2022-09-10,12755688,Female
0,0,0,4.42,2021-06-03,6277,0-9
0,0,0,1.77,2020-08-06,256,0-9
0,0,0,0,2020-02-01,0,70-79
0,0,0,5.86,2020-11-27,1921,10-19
0,0,0,5.95,2023-08-31,2054927,70-79
7.24,141,33.41,8.04,2020-10-06,1948,70-79
0.03,1391,4.09,13.07,2023-03-03,3991457,50-59
0.43,22,4.52,18.24,2020-11-11,5070,50-59
17.17,1202,50.98,2.58,2021-09-11,6999,80 over
0,78,0.24,14.57,2023-01-17,4351397,20-29
2.13,41,13.44,13.13,2020-08-11,1925,60-69
0.11,3933,11.37,10.97,2023-05-12,3441901,60-69
1.57,282,51.74,47.94,2020-12-06,17997,Male
0.05,17,0.81,15.89,2021-07-30,31269,40-49
0,13870,49,47,2022-09-29,11572341,Male
13.64,3383,49.66,2.73,2022-02-03,24797,80 over
0.07,414,4.55,11.89,2022-03-07,554751,50-59
16.66,1226,50.37,2.49,2021-09-24,7358,80 over
0,0,0,25.19,2020-08-05,3641,20-29
0,50,1,15,2022-02-26,427652,30-39
0.05,540,4.35,11.97,2022-03-20,1121808,50-59
0.96,1064,49.84,51.04,2021-08-11,110349,Male
0.2,4,1.31,13.53,2020-08-15,2035,40-49
0.07,2,0.52,12.21,2020-09-22,2822,30-39
0,32,0,11,2022-09-19,2719058,0-9
0,0,0,5.54,2020-06-24,695,10-19
